Symptom Description,Disease
"headache, muscle aches, cough",Flu
"nosebleeds, shortness of breath, headache",Hypertension
"sensitivity to sound, vomiting, nausea, headache, sensitivity to light",Migraine
"loss of appetite, itching, fatigue",Chickenpox
"nosebleeds, headache, shortness of breath, dizziness",Hypertension
"fatigue, chest pain, shortness of breath",Pneumonia
"chest tightness, coughing, shortness of breath, wheezing",Asthma
"nosebleeds, headache, shortness of breath",Hypertension
"fatigue, night sweats, weight loss, coughing, fever",Tuberculosis
"muscle aches, headache, fatigue",Flu
"itching, fatigue, loss of appetite",Chickenpox
"fatigue, mucus, cough, slight fever",Bronchitis
"dizziness, shortness of breath, headache, nosebleeds",Hypertension
"chills, headache, muscle aches, fatigue, fever, cough",Flu
"headache, nosebleeds, dizziness, shortness of breath",Hypertension
"fever, dry cough, tiredness",COVID-19
"slight fever, mucus, cough, shortness of breath, fatigue",Bronchitis
"mild fever, cough, congestion",Common Cold
"nausea, sensitivity to sound, vomiting, headache",Migraine
"fatigue, coughing, weight loss",Tuberculosis
"chills, vomiting, headache, sweating",Malaria
"nervousness, increased heart rate, difficulty concentrating, restlessness, sweating",Anxiety
"coughing, chest tightness, wheezing, shortness of breath",Asthma
"chills, headache, fever, muscle aches, fatigue",Flu
"frequent urination, fatigue, blurred vision, weight loss, increased thirst",Diabetes
"rash, itchy eyes, runny nose, sneezing",Allergy
"night sweats, fatigue, fever, coughing",Tuberculosis
"fatigue, cough, slight fever",Bronchitis
"fatigue, chest pain, shortness of breath",Pneumonia
"congestion, cough, sneezing, runny nose, mild fever",Common Cold
"rash, sneezing, runny nose, congestion",Allergy
"fatigue, cough, chest pain",Pneumonia
"night sweats, fatigue, weight loss",Tuberculosis
"headache, sweating, fever, chills",Malaria
"headache, fever, cough, muscle aches, chills",Flu
"frequent urination, fatigue, weight loss",Diabetes
"nosebleeds, shortness of breath, headache, dizziness",Hypertension
"sensitivity to light, nausea, headache, sensitivity to sound",Migraine
"restlessness, difficulty concentrating, nervousness",Anxiety
"blurred vision, weight loss, increased thirst, frequent urination, fatigue",Diabetes
"mucus, slight fever, fatigue",Bronchitis
"weight loss, fever, fatigue, coughing, night sweats",Tuberculosis
"loss of interest, persistent sadness, insomnia, changes in appetite, fatigue",Depression
"nausea, headache, fever, vomiting",Malaria
"chills, muscle aches, headache, fatigue, cough",Flu
"fever, cough, fatigue, shortness of breath",Pneumonia
"increased thirst, blurred vision, weight loss",Diabetes
"shortness of breath, fatigue, chest pain",Pneumonia
"sneezing, congestion, itchy eyes, rash, runny nose",Allergy
"changes in appetite, fatigue, loss of interest, persistent sadness",Depression
"fatigue, coughing, weight loss",Tuberculosis
"weight loss, frequent urination, fatigue, blurred vision",Diabetes
"sensitivity to sound, vomiting, headache, nausea, sensitivity to light",Migraine
"loss of smell, fever, tiredness",COVID-19
"shortness of breath, headache, dizziness, nosebleeds",Hypertension
"weight loss, night sweats, coughing",Tuberculosis
"fatigue, cough, muscle aches, chills, headache, fever",Flu
"rash, itching, loss of appetite, fatigue, fever",Chickenpox
"rash, congestion, sneezing, runny nose",Allergy
"runny nose, cough, congestion, mild fever, sneezing",Common Cold
"sensitivity to sound, sensitivity to light, headache, nausea",Migraine
"night sweats, fatigue, fever",Tuberculosis
"fatigue, coughing, fever, weight loss, night sweats",Tuberculosis
"dry cough, loss of smell, loss of taste, difficulty breathing, fever, tiredness",COVID-19
"nosebleeds, dizziness, shortness of breath, headache",Hypertension
"fatigue, frequent urination, blurred vision, increased thirst, weight loss",Diabetes
"sweating, chills, headache, nausea, vomiting",Malaria
"fever, muscle aches, headache, fatigue",Flu
"congestion, runny nose, sore throat, mild fever, sneezing",Common Cold
"sneezing, mild fever, congestion, cough",Common Cold
"mild fever, sneezing, congestion",Common Cold
"dizziness, headache, shortness of breath, nosebleeds",Hypertension
"fatigue, fever, weight loss, coughing",Tuberculosis
"restlessness, difficulty concentrating, increased heart rate",Anxiety
"nosebleeds, headache, shortness of breath",Hypertension
"headache, fever, vomiting, chills, sweating",Malaria
"increased heart rate, nervousness, restlessness",Anxiety
"cough, chest pain, fever, shortness of breath, fatigue",Pneumonia
"sneezing, runny nose, congestion, rash",Allergy
"changes in appetite, insomnia, loss of interest",Depression
"congestion, sneezing, runny nose, itchy eyes",Allergy
"night sweats, fatigue, coughing, fever, weight loss",Tuberculosis
"fatigue, fever, rash, itching",Chickenpox
"loss of appetite, fatigue, fever, rash",Chickenpox
"nervousness, sweating, restlessness, difficulty concentrating, increased heart rate",Anxiety
"sneezing, congestion, itchy eyes, runny nose, rash",Allergy
"cough, shortness of breath, slight fever, mucus, fatigue",Bronchitis
"coughing, fatigue, night sweats, weight loss, fever",Tuberculosis
"fever, fatigue, shortness of breath, cough, chest pain",Pneumonia
"mild fever, sore throat, runny nose, sneezing",Common Cold
"sensitivity to sound, headache, nausea, sensitivity to light, vomiting",Migraine
"dizziness, headache, nosebleeds, shortness of breath",Hypertension
"rash, fever, fatigue, itching",Chickenpox
"dizziness, shortness of breath, headache",Hypertension
"vomiting, sensitivity to sound, headache, sensitivity to light",Migraine
"weight loss, frequent urination, blurred vision, fatigue, increased thirst",Diabetes
"loss of taste, fever, loss of smell, difficulty breathing, dry cough, tiredness",COVID-19
"itching, loss of appetite, fever, fatigue",Chickenpox
"fatigue, weight loss, coughing",Tuberculosis
"headache, cough, muscle aches, chills, fever, fatigue",Flu
"nausea, sensitivity to sound, sensitivity to light",Migraine
"fatigue, fever, cough",Pneumonia
"sneezing, mild fever, cough, runny nose, congestion",Common Cold
"fever, fatigue, loss of appetite",Chickenpox
"weight loss, fever, fatigue, night sweats",Tuberculosis
"coughing, chest tightness, shortness of breath",Asthma
"loss of smell, tiredness, loss of taste, difficulty breathing, dry cough",COVID-19
"increased heart rate, nervousness, difficulty concentrating, restlessness, sweating",Anxiety
"shortness of breath, headache, nosebleeds",Hypertension
"nausea, vomiting, chills, fever",Malaria
"headache, sensitivity to sound, sensitivity to light",Migraine
"fever, coughing, night sweats, fatigue, weight loss",Tuberculosis
"fatigue, shortness of breath, fever",Pneumonia
"cough, fever, chills, fatigue, muscle aches",Flu
"restlessness, difficulty concentrating, increased heart rate",Anxiety
"difficulty concentrating, nervousness, increased heart rate",Anxiety
"headache, chills, cough, fatigue, fever",Flu
"vomiting, headache, nausea, fever, sweating, chills",Malaria
"wheezing, coughing, chest tightness",Asthma
"headache, fever, cough, fatigue, chills",Flu
"fever, loss of taste, difficulty breathing, tiredness",COVID-19
"mild fever, sore throat, runny nose, congestion, cough",Common Cold
"slight fever, mucus, fatigue, shortness of breath",Bronchitis
"itching, fever, rash",Chickenpox
"shortness of breath, fatigue, cough, mucus",Bronchitis
"weight loss, fever, coughing, night sweats, fatigue",Tuberculosis
"blurred vision, fatigue, frequent urination, weight loss, increased thirst",Diabetes
"fatigue, persistent sadness, insomnia",Depression
"increased thirst, frequent urination, blurred vision",Diabetes
"fever, rash, loss of appetite, fatigue, itching",Chickenpox
"congestion, runny nose, sneezing",Common Cold
"runny nose, sore throat, congestion, cough",Common Cold
"headache, sweating, fever",Malaria
"mild fever, sneezing, congestion",Common Cold
"coughing, night sweats, weight loss",Tuberculosis
"runny nose, sneezing, cough, congestion, sore throat, mild fever",Common Cold
"fever, fatigue, night sweats",Tuberculosis
"changes in appetite, persistent sadness, insomnia, fatigue",Depression
"cough, runny nose, mild fever, sneezing, sore throat, congestion",Common Cold
"shortness of breath, headache, dizziness, nosebleeds",Hypertension
"vomiting, sweating, chills, nausea, headache, fever",Malaria
"sweating, headache, fever, chills",Malaria
"loss of interest, insomnia, changes in appetite, persistent sadness",Depression
"shortness of breath, headache, nosebleeds, dizziness",Hypertension
"cough, fatigue, chest pain",Pneumonia
"dry cough, loss of smell, fever, loss of taste, difficulty breathing, tiredness",COVID-19
"nervousness, sweating, increased heart rate",Anxiety
"changes in appetite, fatigue, loss of interest, persistent sadness",Depression
"dizziness, nosebleeds, headache, shortness of breath",Hypertension
"blurred vision, weight loss, frequent urination",Diabetes
"fever, fatigue, shortness of breath",Pneumonia
"fatigue, night sweats, weight loss",Tuberculosis
"muscle aches, chills, fatigue, headache",Flu
"itchy eyes, sneezing, congestion",Allergy
"rash, itching, fatigue",Chickenpox
"restlessness, nervousness, difficulty concentrating, sweating, increased heart rate",Anxiety
"wheezing, shortness of breath, coughing, chest tightness",Asthma
"loss of appetite, rash, fever",Chickenpox
"sweating, nausea, headache, chills, fever",Malaria
"increased thirst, frequent urination, fatigue, blurred vision",Diabetes
"increased thirst, blurred vision, weight loss, frequent urination",Diabetes
"sneezing, itchy eyes, runny nose",Allergy
"vomiting, nausea, fever, sweating",Malaria
"mild fever, runny nose, cough, congestion, sneezing",Common Cold
"restlessness, sweating, increased heart rate, difficulty concentrating, nervousness",Anxiety
"sensitivity to sound, sensitivity to light, nausea, vomiting",Migraine
"shortness of breath, wheezing, chest tightness",Asthma
"fatigue, blurred vision, increased thirst, frequent urination, weight loss",Diabetes
"vomiting, sweating, headache",Malaria
"fatigue, shortness of breath, chest pain, fever, cough",Pneumonia
"headache, sensitivity to light, vomiting",Migraine
"mucus, fatigue, cough",Bronchitis
"fatigue, headache, muscle aches, fever, cough",Flu
"rash, sneezing, runny nose, itchy eyes, congestion",Allergy
"loss of smell, fever, tiredness",COVID-19
"nosebleeds, headache, shortness of breath",Hypertension
"tiredness, fever, loss of smell, loss of taste, dry cough, difficulty breathing",COVID-19
"mucus, shortness of breath, slight fever",Bronchitis
"fatigue, coughing, night sweats, fever, weight loss",Tuberculosis
"tiredness, loss of smell, fever, loss of taste, difficulty breathing",COVID-19
"runny nose, congestion, sneezing, cough, sore throat, mild fever",Common Cold
"frequent urination, weight loss, blurred vision, increased thirst",Diabetes
"shortness of breath, nosebleeds, headache",Hypertension
"shortness of breath, dizziness, headache, nosebleeds",Hypertension
"increased heart rate, restlessness, sweating, difficulty concentrating",Anxiety
"slight fever, mucus, cough, fatigue, shortness of breath",Bronchitis
"nosebleeds, shortness of breath, headache, dizziness",Hypertension
"headache, shortness of breath, nosebleeds, dizziness",Hypertension
"rash, fatigue, itching, loss of appetite, fever",Chickenpox
"chills, nausea, sweating",Malaria
"dizziness, nosebleeds, headache",Hypertension
"chills, fever, cough, fatigue",Flu
"cough, mild fever, runny nose, sore throat, congestion",Common Cold
"itchy eyes, congestion, rash, runny nose",Allergy
"chest tightness, wheezing, shortness of breath, coughing",Asthma
"fever, itching, loss of appetite, rash",Chickenpox
"fatigue, shortness of breath, cough",Bronchitis
"tiredness, dry cough, fever, loss of smell, difficulty breathing, loss of taste",COVID-19
"itching, loss of appetite, fatigue",Chickenpox
"fever, chills, nausea, vomiting, sweating",Malaria
"fever, headache, fatigue, muscle aches, chills, cough",Flu
"insomnia, changes in appetite, persistent sadness, loss of interest",Depression
"fever, night sweats, fatigue, weight loss, coughing",Tuberculosis
"dizziness, shortness of breath, headache",Hypertension
"fever, rash, loss of appetite, fatigue, itching",Chickenpox
"loss of taste, tiredness, loss of smell, difficulty breathing, fever, dry cough",COVID-19
"runny nose, congestion, sneezing, rash, itchy eyes",Allergy
"nausea, vomiting, fever, sweating, headache, chills",Malaria
"weight loss, increased thirst, blurred vision, fatigue",Diabetes
"fever, sweating, chills, vomiting, nausea",Malaria
"cough, sore throat, congestion, mild fever",Common Cold
"shortness of breath, dizziness, nosebleeds, headache",Hypertension
"chills, nausea, headache, vomiting, sweating, fever",Malaria
"muscle aches, headache, cough, fever",Flu
"slight fever, mucus, fatigue",Bronchitis
"vomiting, sensitivity to light, sensitivity to sound",Migraine
"sweating, difficulty concentrating, increased heart rate, restlessness, nervousness",Anxiety
"shortness of breath, coughing, chest tightness",Asthma
"loss of interest, insomnia, persistent sadness, fatigue",Depression
"insomnia, changes in appetite, persistent sadness, loss of interest, fatigue",Depression
"shortness of breath, fatigue, slight fever, cough, mucus",Bronchitis
"increased heart rate, sweating, nervousness",Anxiety
"fever, fatigue, cough",Pneumonia
"loss of interest, persistent sadness, fatigue",Depression
"congestion, rash, runny nose, sneezing",Allergy
"vomiting, nausea, sensitivity to light, sensitivity to sound, headache",Migraine
